dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rider_type,riders,price,COGS
1/1/2021,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,casual,3,3.99,1.24
1/1/2021,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,casual,8,3.99,1.24
1/1/2021,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,casual,5,3.99,1.24
1/1/2021,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,casual,3,3.99,1.24
1/1/2021,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,casual,0,3.99,1.24
1/1/2021,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,casual,0,3.99,1.24
1/1/2021,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,casual,2,3.99,1.24
1/1/2021,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,casual,1,3.99,1.24
1/1/2021,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,casual,1,3.99,1.24
1/1/2021,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,casual,8,3.99,1.24
1/1/2021,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,casual,12,3.99,1.24
1/1/2021,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,casual,26,3.99,1.24
1/1/2021,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,casual,29,3.99,1.24
1/1/2021,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,casual,47,3.99,1.24
1/1/2021,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,casual,35,3.99,1.24
1/1/2021,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,casual,40,3.99,1.24
1/1/2021,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,casual,41,3.99,1.24
1/1/2021,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,casual,15,3.99,1.24
1/1/2021,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,casual,9,3.99,1.24
1/1/2021,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,casual,6,3.99,1.24
1/1/2021,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,casual,11,3.99,1.24
1/1/2021,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,casual,3,3.99,1.24
1/1/2021,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,casual,11,3.99,1.24
